,title,description,awards,genre,book_id,language_code,num_pages,author,number_of_ratings,rating,publisher,year,text_reviews_count,Movie
0,TheGirlWhoKickedtheHornet'sNest,"The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockholm to stand trial for three murders. With the help of her friend, journalist Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she will plot revenge - against the man who tried to kill her, and the corrupt government institutions that very nearly destroyed her life.Once upon a time, she was a victim. Now Salander is fighting back.~from the jacket",4,['Fiction'],6892870,English,566pages,Stieg Larsson,643854,4.22, Knopf,May23rd2010,29024,yes
1,AnneofGreenGablesBoxedSet,"ContentsAnne of Green GablesAnne of AvonleaAnne of the IslandAnne of Green Gables“She'll have to go back.”The Cuthberts of Green Gables had decided to adopt an orphan—a nice sturdy boy to help Matthew with the farm chores. The orphanage sent a girl instead—a mischievous, talkative redhead who'd be no use at all. She would just have to go back. But the longer Anne was there, the more no one could image Green Gable without her.Anne of AvonleaThe Girl from Green GablesIt seemed only yesterday that the skinny, freckled redhead had first come to the Island. Now here was Anne, at pretty sixteen, teaching at the Avonlea school and all grown up. Well, not quite grown up. In fact, Anne was not very different from her restless young pupils—mischievous and spirited as ever.Anne of the Island“How Horrible it is That People Have to Grow Up!”Wishing couldn't keep Anne of Green Gables from growing up. Anne's whole world was changing—her childhood friends marrying, Anne herself leaving the Island for four years of college. But as much as life changed, important things stayed the same—especially spirited, irrepressible Anne.The Anne SeriesDelightful, unpredictable Anne Shirley has been charming readers of all ages, in every part of the world, for over half a century. a bestseller from the moment it was published, the series has allowed generations of children to grow up joyfully right along with Anne.",0,['Classics'],8128,English,0pages,L.M. Montgomery,4249,4.49, Laurel Leaf,October6th1997,149,yes
2,"GoodOmens:TheNiceandAccuratePropheciesofAgnesNutter,Witch","‘Armageddon only happens once, you know. They don’t let you go around again until you get it right.’People have been predicting the end of the world almost from its very beginning, so it’s only natural to be sceptical when a new date is set for Judgement Day. But what if, for once, the predictions are right, and the apocalypse really is due to arrive next Saturday, just after tea?You could spend the time left drowning your sorrows, giving away all your possessions in preparation for the rapture, or laughing it off as (hopefully) just another hoax. Or you could just try to do something about it.It’s a predicament that Aziraphale, a somewhat fussy angel, and Crowley, a fast-living demon now finds themselves in. They’ve been living amongst Earth’s mortals since The Beginning and, truth be told, have grown rather fond of the lifestyle and, in all honesty, are not actually looking forward to the coming Apocalypse.And then there’s the small matter that someone appears to have misplaced the Antichrist…",2,['Fantasy'],12067,English,491pages,Terry Pratchett,539930,4.24, William Morrow,November28th2006,27433,yes
3,ICapturetheCastle,"Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, hopelessly, in love.",0,['Classics'],31122,English,343pages,Dodie Smith,84076,4, Wyatt Book,March31st1998,8425,yes
4,ThoughNoneGowithMe,"One woman s costly decision will touch a lifetime of hearts. Born at the turn of the century, Elisabeth Grace LeRoy longs for something more in her life. Something only an eternal love can offer. It is a love she encounters at last one that promises to fill her passionate heart completely and that calls forth her utmost in return. In response, Elisabeth makes the commitment that will shape her entire life: a decision to follow Christ always, no matter the cost. So begins a remarkable love story a legacy of faith that weaves together two world wars, the Great Depression, and deep personal sorrows as the dramatic background for displaying the courage, grace, joy, and far-reaching impact of a life lived truly and fully for God.""",0,['Christian Fiction'],498153,English,304pages,Jerry B. Jenkins,805,4.11, Zondervan,August12th2001,103,yes
5,StarTrekV:TheFinalFrontier,"On the planet Nimbus III, a harsh world deep in the neutral zone, the three major powers-- Federation, Klingon, and Romulan-- attempt a revolutionary cooperative program, jointly developing the planet as an experiment in peace. But that makes Nimbus III an irresistible target for terrorists, who seize control of the planet, and the Enterprise is sent on a daring mission of rescue. And soon Kirk and his crew find themselves on a much more dangerous and disturbing journey, to the center of the galaxy and the forbidden secrets it holds.",0,['Media Tie In'],912685,English,311pages,J.M. Dillard,740,3.46, Pocket Books,Jun-89,39,yes
6,FiveFeetApart,"In this moving story two teens fall in love with just one minor complication—they can’t get within five feet of each other without risking their lives.Can you love someone you can never touch?Stella Grant likes to be in control—even though her totally out of control lungs have sent her in and out of the hospital most of her life. At this point, what Stella needs to control most is keeping herself away from anyone or anything that might pass along an infection and jeopardize the possibility of a lung transplant. Six feet apart. No exceptions.The only thing Will Newman wants to be in control of is getting out of this hospital. He couldn’t care less about his treatments, or a fancy new clinical drug trial. Soon, he’ll turn eighteen and then he’ll be able to unplug all these machines and actually go see the world, not just its hospitals.Will’s exactly what Stella needs to stay away from. If he so much as breathes on Stella she could lose her spot on the transplant list. Either one of them could die. The only way to stay alive is to stay apart. But suddenly six feet doesn’t feel like safety. It feels like punishment.What if they could steal back just a little bit of the space their broken lungs have stolen from them? Would five feet apart really be so dangerous if it stops their hearts from breaking too?",2,['Young Adult'],39939417,English,288pages,Rachael Lippincott,81429,4.19, Simon & Schuster Books for Young Readers,November20th2018,10096,yes
7,TheZookeeper'sWife,"When Germany invaded Poland, Stuka bombers devastated Warsaw—and the city's zoo along with it. With most of their animals dead, zookeepers Jan and Antonina Zabinski began smuggling Jews into empty cages. Another dozen ""guests"" hid inside the Zabinskis' villa, emerging after dark for dinner, socializing, and, during rare moments of calm, piano concerts. Jan, active in the Polish resistance, kept ammunition buried in the elephant enclosure and stashed explosives in the animal hospital. Meanwhile, Antonina kept her unusual household afloat, caring for both its human and its animal inhabitants—otters, a badger, hyena pups, lynxes.With her exuberant prose and exquisite sensitivity to the natural world, Diane Ackerman engages us viscerally in the lives of the zoo animals, their keepers, and their hidden visitors. She shows us how Antonina refused to give in to the penetrating fear of discovery, keeping alive an atmosphere of play and innocence even as Europe crumbled around her.",2,['Nonfiction'],32722510,English,368pages,Diane Ackerman,77047,3.47, W. W. Norton  Company,February17th2017,9623,yes
8,"MagicKnightRayearthI,Vol.1","Hikaru, Umi and Fuu are Tokyo schoolgirls with nothing else in common, until one fateful day changes everything: the three are summoned to the magical realm of Cephiro and find that their lives are inexorably intertwined. Princess Emeraude, whose willpower keeps Cephiro safe, has been kidnapped by the sinister Zagato, and the three girls must become the legendary Magic Knights in order to save her. It's not going to be easy, as Zagato has sent his most powerful minions to stop the girls before they can fulfill their destinies. Protected by an ancient wizard's blessing and determined to find their way home, Hikaru, Umi and Fuu begin the adventure of a lifetime!",0,['Sequential Art'],62309,English,203pages,CLAMP,8943,4.09, TokyoPop,August5th2003,147,yes
9,Alien³,,0,['Science Fiction'],939556,English,160pages,Alan Dean Foster,1579,3.7, TIME WARNER PAPERBACKS,January1st1992,87,yes
10,Гибельныйтупик,,0,['Science Fiction'],2993960,Russian,436pages,Philip K. Dick,15,4.2, Российский запад,1993,3,yes
11,Georgiana:DuchessofDevonshire,"The winner of Britain's prestigious Whitbread Prize and a bestseller there for months, this wonderfully readable biography offers a rich, rollicking picture of late-eighteenth-century British aristocracy and the intimate story of a woman who for a time was its undisputed leader.Lady Georgiana Spencer was the great-great-great-great-aunt of Diana, Princess of Wales, and was nearly as famous in her day. In 1774, at the age of seventeen, Georgiana achieved immediate celebrity by marrying one of England's richest and most influential aristocrats, the Duke of Devonshire. Launched into a world of wealth and power, she quickly became the queen of fashionable society, adored by the Prince of Wales, a dear friend of Marie-Antoinette, and leader of the most important salon of her time. Not content with the role of society hostess, she used her connections to enter politics, eventually becoming more influential than most of the men who held office. Her good works and social exploits made her loved by the multitudes, but Georgiana's public success, like Diana's, concealed a personal life that was fraught with suffering. The Duke of Devonshire was unimpressed by his wife's legendary charms, preferring instead those of her closest friend, a woman with whom Georgiana herself was rumored to be on intimate terms. For over twenty years, the three lived together in a jealous and uneasy ménage à trois, during which time both women bore the Duke's children—as well as those of other men.Foreman's descriptions of Georgiana's uncontrollable gambling, all-night drinking, drug taking, and love affairs with the leading politicians of the day give us fascinating insight into the lives of the British aristocracy in the era of the madness of King George III, the American and French revolutions, and the defeat of Napoleon. A gifted young historian whom critics are already likening to Antonia Fraser, Amanda Foreman draws on a wealth of fresh research and writes colorfully and penetratingly about the fascinating Georgiana, whose struggle against her own weaknesses, whose great beauty and flamboyance, and whose determination to play a part in the affairs of the world make her a vibrant, astonishingly contemporary figure.",1,['History'],319300,English,456pages,Amanda Foreman,17141,3.79, Modern Library,January16th2001,1150,yes
12,Hitman:EnemyWithin,"The clone assassin has been played long enough–now it’s more than a game.Bred to kill, Agent 47 is The Agency’s most valuable assassin. So when a competing murder-for-hire organization decides to destroy The Agency, the first person they target for elimination is Agent 47. Tasking someone to off the best hitman in the business is one thing; getting the job done is another. When the attempt falls short, Agent 47 is ordered to track down and kill the culprit who is feeding vital information about The Agency to its enemies.Agent 47 must follow a bloody trail halfway around the world, fight his way through the streets of Fez, Morocco, and battle slavers deep inside Chad. Then he will discover a shattering truth: If he fails at his mission, the price he’ll pay will be far greater than his own life. . . .",0,['Fiction'],1302181,Unavailable,320pages,William C. Dietz,536,3.79, Del Rey,August28th2007,44,yes
13,WatershipDown,"Librarian's note: See alternate cover edition of ISBN13 9780380395866 here.Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society.",6,['Classics'],76620,English,478pages,Richard  Adams,432284,4.06, Avon Books,Jun-75,13740,yes
14,HeartsinAtlantis,"Five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.Stephen King, whose first novel, Carrie, was published in 1974, the year before the last U.S. troops withdrew from Vietnam, is the first hugely popular writer of the TV generation. Images from that war -- and the protests against it -- had flooded America's living rooms for a decade. Hearts in Atlantis, King's newest fiction, is composed of five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War. In Part One, ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood. He also discovers that adults are sometimes not rescuers but at the heart of the terror. In the title story, a bunch of college kids get hooked on a card game, discover the possibility of protest...and confront their own collective heart of darkness, where laughter may be no more than the thinly disguised cry of the beast. In ""Blind Willie"" and ""Why We're in Vietnam,"" two men who grew up with Bobby in suburban Connecticut try to fill the emptiness of the post-Vietnam era in an America which sometimes seems as hollow -- and as haunted -- as their own lives. And in ""Heavenly Shades of Night Are Falling,"" this remarkable book's denouement, Bobby returns to his hometown where one final secret, the hope of redemption, and his heart's desire may await him. Full of danger, full of suspense, most of all full of heart, Stephen King's new book will take some readers to a place they have never been...and others to a place they have never been able to completely leave.",2,['Horror'],11602,English,640pages,Stephen King,83625,3.83, New English Library,2001,2201,yes
15,JohnAdams,"The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.In this powerful, epic biography, David McCullough unfolds the adventurous life-journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot -- ""the colossus of independence,"" as Thomas Jefferson called him -- who spared nothing in his zeal for the American Revolution; who rose to become the second President of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as ""out of his senses""; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history. Like his masterly, Pulitzer Prize-winning biography Truman, David McCullough's John Adams has the sweep and vitality of a great novel. It is both a riveting portrait of an abundantly human man and a vivid evocation of his time, much of it drawn from an outstanding collection of Adams family letters and diaries. In particular, the more than one thousand surviving letters between John and Abigail Adams, nearly half of which have never been published, provide extraordinary access to their private lives and make it possible to know John Adams as no other major American of his founding era. As he has with stunning effect in his previous books, McCullough tells the story from within -- from the point of view of the amazing eighteenth century and of those who, caught up in events, had no sure way of knowing how things would turn out. George Washington, Benjamin Franklin, John Jay, the British spy Edward Bancroft, Madame Lafayette and Jefferson's Paris ""interest"" Maria Cosway, Alexander Hamilton, James Madison, the scandalmonger James Callender, Sally Hemings, John Marshall, Talleyrand, and Aaron Burr all figure in this panoramic chronicle, as does, importantly, John Quincy Adams, the adored son whom Adams would live to see become President. Crucial to the story, as it was to history, is the relationship between Adams and Jefferson, born opposites -- one a Massachusetts farmer's son, the other a Virginia aristocrat and slaveholder, one short and stout, the other tall and spare. Adams embraced conflict; Jefferson avoided it. Adams had great humor; Jefferson, very little. But they were alike in their devotion to their country. At first they were ardent co-revolutionaries, then fellow diplomats and close friends. With the advent of the two political parties, they became archrivals, even enemies, in the intense struggle for the presidency in 1800, perhaps the most vicious election in history. Then, amazingly, they became friends again, and ultimately, incredibly, they died on the same day -- their day of days -- July 4, in the year 1826. Much about John Adams's life will come as a surprise to many readers. His courageous voyage on the frigate Boston in the winter of 1778 and his later trek over the Pyrenees are exploits that few would have dared and that few readers will ever forget. It is a life encompassing a huge arc -- Adams lived longer than any president. The story ranges from the Boston Massacre to Philadelphia in 1776 to the Versailles of Louis XVI, from Spain to Amsterdam, from the Court of St. James's, where Adams was the first American to stand before King George III as a representative of the new nation, to the raw, half-finished Capital by the Potomac, where Adams was the first President to occupy the White House. This is history on a grand scale -- a book about politics and war and social issues, but also about human nature, love, religious faith, virtue, ambition, friendship and betrayal, and the far-reaching consequences of noble ideas. Above all, John Adams is an enthralling, often surprising story of one of the most important and fascinating Americans who ever lived.",6,['History'],2203,English,751pages,David McCullough,310284,4.06, Simon & Schuster Paperbacks,May22nd2001,6316,yes
16,Emma,"An alternative cover of this ISBN can be found here.Emma Woodhouse is one of Austen's most captivating and vivid characters. Beautiful, spoilt, vain and irrepressibly witty, Emma organizes the lives of the inhabitants of her sleepy little village and plays matchmaker with devastating effect.",0,['Classics'],6969,English,474pages,Jane Austen,648320,4.01, Penguin Books,May6th2003,18012,yes
17,TheObjectofMyAffection,"George and Nina seem like the perfect couple. They share a cozy, cluttered Brooklyn apartment, a taste for impromptu tuna casserole dinners, and a devotion to ballroom dancing lessons at Arthur Murray. They love each other. There's only one hitch: George is gay. And when Nina announces she's pregnant, things get especially complicated. Howard -- Nina's overbearing boyfriend and the baby's father -- wants marriage. Nina wants independence. George will do anything for a little unqualified affection, but is he ready to become an unwed surrogate dad? A touching and hilarious novel about love, friendship, and the many ways of making a family.",0,['Fiction'],324107,English,320pages,Stephen McCauley,1571,3.8, Simon  Schuster,March15th1991,99,yes
