,average_rating,author_id,text_reviews_count,name,ratings_count
0,3.98,604031,7,Ronald J. Fields,49
1,4.08,626222,28716,Anita Diamant,546796
2,3.92,10333,5075,Barbara Hambly,122118
3,3.68,9212,36262,Jennifer Weiner,888522
4,3.82,149918,96,Nigel Pennick,1740
5,3.89,3041852,85,Alfred J. Church,947
6,4.17,215594,6,Michael Halberstam,23
7,4.18,19158,486,Rachel Roberts,13677
8,3.99,5807700,986,V.L. Locey,3130
9,3.48,2983296,824,Anton Szandor LaVey,12628
10,3.76,40075,396,Kenneth Anger,5255
11,3.86,37778,616,Bernard Knight,7836
12,3.95,242185,2906,Carolyn Haines,42549
13,4.00,27397,4231,Benjamin Hoff,104975
14,3.54,35259,81,Christopher Ross,420
15,3.84,3083854,9732,Tom Wolfe,210744
16,3.92,39054,3251,Don Piper,71959
17,3.96,11099,5313,Cecil Murphey,86128
18,4.29,4862,3992,Randy Alcorn,56585
19,3.99,137561,12146,Jennifer L. Holm,128152
20,4.06,5411,8642,Cynthia Rylant,96780
21,3.84,4092328,97,Margot Hovley,318
22,4.14,75424,7,Wayne Kinsey,71
23,3.66,1357577,1889,Francoise Sagan,28688
24,4.01,3389,367487,Stephen King,10666719
25,4.10,105602,1916,Edward Herrmann,7201
26,4.14,31308,127,Peter Maass,1194
27,3.89,50873,30755,L.J. Smith,919399
28,3.82,232533,58,Anne Emmert,436
29,4.50,166520,1,Christopher Michael McDonough,2
30,4.06,166517,17,Richard E. Prior,168
31,4.50,3958428,1,Mark Jackson Stansbury,2
32,4.50,3958429,1,Mark Stansbury,2
33,0.0,6536612,1,Zabrina Murray,0
34,4.03,15585,158,James Russell Lowell,1464
35,4.05,5054653,37,Lisa Mills,218
36,4.70,7326076,15,Zhang  Yun,23
37,3.63,15104629,66,David  Blake,473
38,3.48,14425713,23,David J. Ashton,200
39,4.25,51229,8761,John  Williams,72020
40,3.72,110982,2172,Peter Cameron,15208
41,4.11,5768434,416,Stefano Tummolini,2133
42,4.25,2994299,284,mHmd`ly frwGy,4602
43,4.10,5360266,6895,Carrie Ann Ryan,62789
44,3.56,190988,214,Margaret Yorke,1813
45,4.13,8289606,70,Nikki Faye,258
46,4.10,1265,127817,Jane Austen,4693826
47,4.11,8551671,1,Lindsey Schussman,9
48,4.25,17038441,1,Raina Palmatier,4
49,3.87,589328,7,Larry Shles,31
50,4.10,2608283,7,Bradley L. Winch,30
51,4.13,16667,39262,Isaac Asimov,1533093
52,3.89,44554,9551,Scott Brick,82004
53,3.82,1455,56698,Ernest Hemingway,1619036
54,3.97,1004238,2620,Will Patton,9202
55,3.83,90411,1223,Kit Tunstall,8402
56,4.10,14356708,612,Kit Fawkes,3136
57,1.00,15425909,1,Esra Bahadir Cesar,1
58,4.19,53167,5,H. Kent Baker,43
59,3.75,13536229,1,Victor Ricciardi,4
60,4.24,6475486,4,Freddy Jackson Brown,17
61,4.00,14856310,2,Duncan Gillard,4
62,4.10,14253,407,Steven C. Hayes,5886
63,3.94,100084,184,Paula Rabinowitz,1743
64,3.62,47231,1790,Stacey Ballis,13842
65,3.77,3330668,10129,Jenika Snow,112695
66,4.02,5804912,80,Elizabeth Guizzetti,111
67,3.84,2787558,5,Ira Severin,43
68,3.94,834674,2,Sean M. Theriault,34
69,3.50,17180082,1,Queen Rex,4
70,3.46,285644,32,Ian Botham,413
71,3.44,337108,105,Margaret Doody,1134
72,3.29,4585413,54,Rosalia Coci,558
73,3.40,1093599,33,Beppe Benvenuto,248
74,4.18,14843595,18,B. Batregzedmaa,82
75,3.85,169159,86,Mandy Stanley,657
76,3.84,4918,1149,Robert Burleigh,4560
77,3.37,3274315,4,Florence Dupre la Tour,62
78,3.71,89445,120,Terence Conran,946
79,3.61,1528477,4,Roger Dubern,18
80,3.97,106170,30,John McGowan,434
81,4.22,42820,89,Hugh Johnson,1525
82,3.84,8070,30,Isser Woloch,393
