,book_id,Movie
0,6892870,yes
1,8128,yes
2,12067,yes
3,31122,yes
4,498153,yes
5,912685,yes
6,39939417,yes
7,32722510,yes
8,62309,yes
9,939556,yes
10,2993960,yes
11,319300,yes
12,1302181,yes
13,76620,yes
14,11602,yes
15,2203,yes
16,6969,yes
17,324107,yes
18,13103,yes
19,12957,yes
20,18553,yes
21,11713,yes
22,6047821,yes
23,16319,yes
24,42512,yes
25,16085481,yes
26,256566,yes
27,1586905,yes
28,18243700,yes
29,31259,yes
30,215631,yes
31,639787,yes
32,1341147,yes
33,3153910,yes
34,218660,yes
35,99107,yes
36,18864,yes
37,92057,yes
38,24213,yes
39,826542,yes
40,386887,yes
41,41913,yes
42,228200,yes
43,8953,yes
44,228296,yes
45,8921,yes
46,32439,yes
47,19117435,yes
48,7688925,yes
49,5368,yes
50,893731,yes
51,138180,yes
52,18498558,yes
53,35180,yes
54,14942,yes
55,123063,yes
56,40465,yes
57,112322,yes
58,19358045,yes
59,205476,yes
60,4374400,yes
61,2165,yes
62,413618,yes
63,18723,yes
64,50798,yes
65,31337,yes
66,1408691,yes
67,28260587,yes
68,625554,yes
69,353465,yes
70,3759,yes
71,19000,yes
72,11573,yes
73,107783,yes
74,45107,yes
75,31979,yes
76,1309660,yes
77,7354,yes
78,1289617,yes
79,13486122,yes
80,8650,yes
81,12996,yes
82,41716,yes
83,28877,yes
84,10605,yes
85,6720836,yes
86,3465,yes
87,243598,yes
88,1128437,yes
89,29127,yes
90,295406,yes
91,7942604,yes
92,126502,yes
93,21796,yes
94,264,yes
95,73687,yes
96,1916528,yes
97,94799,yes
98,29641,yes
99,12468,yes
100,13335037,yes
101,40940649,yes
102,3714953,yes
103,40425,yes
104,7190,yes
105,2373,yes
106,231821,yes
107,12956766,yes
108,243924,yes
109,1128434,yes
110,51068,yes
111,17660,yes
112,54814,yes
113,18521,yes
114,16046117,yes
115,508249,yes
116,432450,yes
117,7766064,yes
118,15838762,yes
119,13539044,yes
120,187650,yes
121,9717,yes
122,45032,yes
123,1045811,yes
124,7631105,yes
125,18999,yes
126,186074,yes
127,38447,yes
128,23196,yes
129,183436,yes
130,7437,yes
131,782854,yes
132,13707658,yes
133,8852,yes
134,15812794,yes
135,662,yes
136,20086,yes
137,37546524,yes
138,1054990,yes
139,147326,yes
140,52350,yes
141,8252,yes
142,15926,yes
143,28305,yes
144,8337,yes
145,2696,yes
146,288965,yes
147,77270,yes
148,825282,yes
149,33346503,yes
150,11570,yes
151,389627,yes
152,23807,yes
153,176178,yes
154,314263,yes
155,578517,yes
156,228198,yes
157,6304929,yes
158,1499952,yes
159,49251,yes
160,9349915,yes
161,6320534,yes
162,1656001,yes
163,2277185,yes
164,56842,yes
165,853510,yes
166,35743,yes
167,431806,yes
168,9401590,yes
169,7642606,yes
170,124272,yes
171,125404,yes
172,21996,yes
173,5326,yes
174,11031,yes
175,6694937,yes
